1,the,2838
2,of,2197
3,and,1802
4,to,1427
5,we,1144
6,in,994
7,our,971
8,a,883
9,that,657
10,is,593
11,for,524
12,it,416
13,have,401
14,be,399
15,are,383
16,not,374
17,will,341
18,this,328
19,all,300
20,with,294
21,but,291
22,as,286
23,us,266
24,by,261
25,i,259
26,world,234
27,,229
28,can,219
29,which,208
30,no,196
31,people,195
32,must,191
33,their,191
34,has,186
35,new,169
36,on,169
37,its,169
38,from,161
39,who,158
40,they,153
41,government,152
42,nation,151
43,more,143
44,or,140
45,peace,138
46,do,136
47,so,132
48,an,128
49,america,125
50,there,124
51,at,118
52,own,118
53,great,117
54,been,116
55,those,114
56,freedom,111
57,these,108
58,nations,108
59,what,104
60,upon,101
61,let,101
62,my,100
63,time,98
64,one,93
65,only,93
66,shall,92
67,if,92
68,when,88
69,you,84
70,life,84
71,every,79
72,may,77
73,free,77
74,know,77
75,them,76
76,today,75
77,now,75
78,work,74
79,country,73
80,american,72
81,other,70
82,justice,69
83,men,68
84,than,65
85,make,65
86,because,64
87,would,63
88,hope,61
89,any,61
90,citizens,60
91,old,59
92,each,59
93,his,59
94,out,58
95,together,58
96,human,57
97,faith,57
98,was,57
99,years,56
100,progress,55
101,war,55
102,power,55
103,should,54
104,history,54
105,americans,54
106,good,54
107,before,53
108,through,53
109,god,53
110,spirit,53
111,never,52
112,way,52
113,most,52
114,national,51
115,man,51
116,democracy,50
117,need,49
118,such,49
119,help,48
120,purpose,48
121,come,48
122,under,47
123,had,47
124,united,47
125,into,46
126,made,45
127,first,45
128,your,45
129,ourselves,45
130,here,45
131,things,44
132,strength,44
133,common,43
134,day,42
135,fellow,42
136,change,42
137,better,42
138,responsibility,41
139,much,41
140,many,41
141,law,41
142,peoples,41
143,live,41
144,economic,41
145,opportunity,40
146,again,40
147,president,39
148,earth,39
149,where,39
150,land,39
151,right,39
152,century,39
153,believe,38
154,see,38
155,lives,38
156,he,38
157,states,38
158,home,38
159,long,37
160,seek,37
161,were,37
162,future,37
163,me,36
164,liberty,36
165,just,36
166,without,36
167,among,35
168,place,35
169,some,35
170,means,34
171,action,34
172,strong,34
173,both,34
174,system,34
175,stand,34
176,beyond,34
177,part,34
178,others,33
179,go,33
180,toward,32
181,always,32
182,over,32
183,best,32
184,done,32
185,yet,32
186,cannot,32
187,well,32
188,security,31
189,political,31
190,too,30
191,itself,30
192,public,30
193,find,30
194,themselves,30
195,duty,29
196,service,29
197,up,29
198,children,29
199,promise,29
200,ask,28
201,still,28
202,use,28
203,order,28
204,within,28
205,against,27
206,economy,27
207,force,27
208,nor,27
209,heart,26
210,high,26
211,civilization,26
212,problems,26
213,laws,26
214,full,26
215,even,26
216,rights,26
217,ever,25
218,mankind,25
219,alone,25
220,end,25
221,moral,25
222,party,25
223,principles,25
224,americas,24
225,millions,24
226,meet,24
227,whole,24
228,task,24
229,resources,24
230,less,24
231,another,23
232,mr,23
233,times,23
234,take,23
235,like,23
236,same,23
237,very,23
238,ago,23
239,individual,23
240,ideals,23
241,moment,23
242,unity,23
243,give,22
244,called,22
245,courage,22
246,continue,22
247,support,22
248,hand,22
249,act,22
250,friends,22
251,last,22
252,face,22
253,generation,22
254,women,22
255,pledge,22
256,greater,22
257,hold,22
258,society,21
259,past,21
260,become,21
261,industrial,21
262,bring,21
263,beginning,21
264,federal,21
265,union,21
266,call,21
267,am,21
268,true,21
269,worlds,21
270,confidence,21
271,love,21
272,knowledge,21
273,then,21
274,republic,21
275,effort,21
276,international,21
277,congress,20
278,secure,20
279,enough,20
280,leadership,20
281,thought,20
282,fear,20
283,destiny,20
284,small,20
285,prosperity,20
286,dignity,20
287,forward,20
288,greatest,19
289,speak,19
290,important,19
291,does,19
292,independence,19
293,share,19
294,far,19
295,want,19
296,back,19
297,given,19
298,business,19
299,could,19
300,oath,18
301,era,18
302,poverty,18
303,sacrifice,18
304,taken,18
305,clear,18
306,cause,18
307,hopes,18
308,say,18
309,concern,18
310,while,18
311,once,18
312,between,18
313,lead,18
314,forces,18
315,vision,18
316,social,17
317,understanding,17
318,abroad,17
319,look,17
320,defense,17
321,administration,17
322,words,17
323,equal,17
324,since,17
325,education,17
326,dream,17
327,cost,17
328,office,17
329,two,17
330,build,17
331,four,17
332,found,17
333,days,17
334,wish,17
335,advance,17
336,expression,16
337,also,16
338,sound,16
339,hearts,16
340,resolve,16
341,making,16
342,values,16
343,set,16
344,across,16
345,success,16
346,age,16
347,young,16
348,humanity,16
349,belief,16
350,nothing,16
351,conscience,16
352,welfare,16
353,course,16
354,her,16
355,efforts,16
356,lies,16
357,join,16
358,little,16
359,did,15
360,trade,15
361,chance,15
362,about,15
363,cooperation,15
364,whose,15
365,essential,15
366,conditions,15
367,turn,15
368,special,15
369,away,15
370,sense,15
371,governments,15
372,policy,15
373,might,15
374,think,15
375,light,15
376,ready,15
377,challenge,15
378,ought,15
379,wealth,15
380,fail,15
381,standards,15
382,community,15
383,voices,15
384,simple,15
385,building,15
386,tax,14
387,material,14
388,whether,14
389,interest,14
390,helped,14
391,weapons,14
392,race,14
393,program,14
394,constitution,14
395,counsel,14
396,serve,14
397,fact,14
398,truth,14
399,present,14
400,wisdom,14
401,responsibilities,14
402,living,14
403,enterprise,14
404,strive,14
405,arms,14
406,citizen,14
407,labor,14
408,reach,14
409,respect,14
410,achieve,14
411,generations,13
412,down,13
413,seeking,13
414,honor,13
415,merely,13
416,balance,13
417,hands,13
418,after,13
419,remember,13
420,trust,13
421,body,13
422,maintain,13
423,vice,13
424,renew,13
425,though,13
426,science,13
427,peaceful,13
428,purposes,13
429,policies,13
430,desire,13
431,control,13
432,state,13
433,countrymen,13
434,countries,13
435,rich,13
436,thank,13
437,determined,13
438,private,13
439,matters,12
440,continent,12
441,deep,12
442,year,12
443,affairs,12
444,preserve,12
445,effective,12
446,growth,12
447,ours,12
448,highest,12
449,revolution,12
450,mans,12
451,born,12
452,story,12
453,struggle,12
454,burden,12
455,selfgovernment,12
456,accept,12
457,centuries,12
458,democratic,12
459,powers,12
460,question,12
461,how,12
462,provide,12
463,gods,12
464,longer,12
465,influence,12
466,prayer,12
467,solemn,12
468,journey,11
469,proud,11
470,practical,11
471,military,11
472,necessary,11
473,failure,11
474,throughout,11
475,differences,11
476,dreams,11
477,nature,11
478,evil,11
479,wrong,11
480,forth,11
481,already,11
482,increase,11
483,require,11
484,created,11
485,higher,11
486,permanent,11
487,different,11
488,around,11
489,price,11
490,answer,11
491,genius,11
492,dangers,11
493,bless,11
494,chief,11
495,settlement,11
496,turning,11
497,challenges,11
498,reduce,11
499,mean,11
500,experience,11
501,keep,11
502,health,11
503,neighbors,11
504,commitment,11
505,form,11
506,side,11
507,offer,11
508,instrument,11
509,everywhere,11
510,mind,11
511,few,11
512,equality,11
513,ancient,11
514,supreme,11
515,himself,11
516,family,11
517,aspirations,11
518,built,11
519,role,11
520,instead,11
521,carry,11
522,sides,11
523,mere,11
524,needs,11
525,families,10
526,strengthen,10
527,waste,10
528,above,10
529,often,10
530,celebrate,10
531,sometimes,10
532,however,10
533,powerful,10
534,happiness,10
535,senator,10
536,thing,10
537,character,10
538,enforcement,10
539,popular,10
540,citizenship,10
541,realize,10
542,washington,10
543,came,10
544,destruction,10
545,something,10
546,foreign,10
547,assume,10
548,learn,10
549,property,10
550,try,10
551,expect,10
552,energy,10
553,hard,10
554,learned,10
555,weak,10
556,dedication,10
557,save,10
558,bear,10
559,conviction,10
560,fair,10
561,begin,10
562,put,10
563,recovery,10
564,ways,10
565,yes,10
566,dark,10
567,certain,10
568,create,10
569,seen,10
570,natural,10
571,reason,10
572,relations,10
573,interests,10
574,care,10
575,passed,10
576,money,10
577,suffering,10
578,almighty,10
579,authority,10
580,makes,10
581,principle,9
582,third,9
583,produce,9
584,structure,9
585,enemies,9
586,example,9
587,communism,9
588,almost,9
589,capacity,9
590,measure,9
591,real,9
592,armed,9
593,vital,9
594,local,9
595,friend,9
596,based,9
597,commerce,9
598,eyes,9
599,rule,9
600,comes,9
601,industry,9
602,demand,9
603,show,9
604,reached,9
605,unless,9
606,threat,9
607,shared,9
608,fate,9
